P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1142.01,,1142.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.75,,1.72,1.13,1.95,1.83,        215.9986,        215.9986,        215.9987,976.7,976.7,976.7,1018.7,1018.7,1018.7,6.5,-24.22,3.27,3.76,0.0453,0.00,0.05,88.2,0.0,KOI-1142,,,Lyr,G,0.88,0.79,5311.0,0.443249,0.000,,15.8,927.04,19.1652,44.2375,-32.6,9.2803,1,0,0.513,1.227,-2.31,-0.15,-0.60,0.29,0.00,0.00,0.00,0.27,0,0,0,0,transit,2011
KOI-1145.01,,1145.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.76,,2.28,1.50,3.42,2.79,        29.54868,        29.54868,        29.54869,594.0,594.0,594.0,642.0,642.0,642.0,26.6,-22.67,4.33,30.59,0.1936,0.00,0.19,89.4,0.0,KOI-1145,,,Cyg,F,1.03,0.95,6075.0,1.107513,0.000,,14.1,697.11,19.7699,44.2647,-30.4,2.6208,1,0,0.776,1.814,-2.12,-0.12,0.48,0.31,0.00,0.00,0.00,0.28,0,0,0,0,transit,2011
KOI-1146.01,,1146.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.47,,0.83,0.82,0.68,0.75,        7.950960,        7.950961,        7.950962,427.8,427.8,427.8,457.8,457.8,457.8,0.4,-19.03,1.58,7.10,0.0537,0.00,0.05,88.8,0.0,KOI-1146,,,Lyr,K,0.41,0.40,3555.0,0.022928,0.000,,15.6,200.02,19.0419,44.3109,-29.0,3.9704,1,0,0.124,0.320,-1.71,-0.18,-1.02,0.33,0.00,0.00,0.00,0.45,0,0,0,0,transit,2011
KOI-1148.01,Kepler-270 b,1148.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.28,,1.83,1.19,2.17,1.99,        237.6446,        237.6447,        237.6447,1000.3,1000.3,1000.3,1043.5,1043.5,1043.5,8.6,-24.46,3.48,11.48,0.1045,0.00,0.10,88.8,0.0,KOI-1148,,,Lyr,F,1.15,1.30,6432.0,2.595139,0.000,,13.9,958.14,18.8133,44.4223,-32.7,6.6333,2,0,1.162,2.700,-2.38,-0.14,-0.51,0.29,0.00,0.00,0.00,0.27,0,0,0,1,transit,2011
KOI-1148.02,Kepler-270 c,1148.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.49,,1.50,1.03,1.55,1.52,        83.02254,        83.02255,        83.02255,769.0,769.0,769.0,808.5,808.5,808.5,3.6,-22.88,2.85,25.26,0.1768,0.00,0.18,88.2,0.0,KOI-1148,,,Lyr,F,1.15,1.30,6432.0,2.595139,0.000,,13.9,958.14,18.8133,44.4223,-31.6,3.9193,2,0,1.162,2.700,-2.28,-0.15,-0.67,0.30,0.00,0.00,0.00,0.30,0,0,0,1,transit,2011
KOI-1150.01,,1150.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.78,,0.97,0.86,0.83,0.90,        5280.151,        5280.151,        5280.153,2171.7,2171.7,2171.7,2204.1,2204.1,2204.1,0.7,-26.46,1.84,0.68,0.0149,0.00,0.01,88.2,0.0,KOI-1150,,,Lyr,G,0.96,1.10,5735.0,1.172247,0.000,,13.3,493.19,18.7844,44.2925,-36.1,40.1218,1,0,0.815,1.921,-2.45,-0.17,-1.36,0.26,0.00,0.00,0.00,0.29,0,0,0,0,transit,2011
KOI-1151.01,Kepler-271 b,1151.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.22,,1.32,0.97,1.28,1.30,        86.89941,        86.89941,        86.89942,777.9,777.9,777.9,815.1,815.1,815.1,2.1,-22.65,2.51,10.44,0.0875,0.00,0.09,89.4,0.0,KOI-1151,,,Lyr,G,0.82,0.90,5516.0,0.665324,0.000,,13.4,385.08,18.8669,44.2842,-31.6,5.4530,5,0,0.622,1.476,-2.25,-0.16,-0.83,0.29,0.00,0.00,0.00,0.30,0,0,0,1,transit,2011
KOI-1151.02,Kepler-271 c,1151.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.93,,1.02,0.87,0.89,0.95,        136.9517,        136.9517,        136.9517,871.5,871.5,871.5,904.6,904.6,904.6,0.8,-22.58,1.94,7.41,0.0697,0.00,0.07,88.8,0.0,KOI-1151,,,Lyr,G,0.82,0.90,5516.0,0.665324,0.000,,13.4,385.08,18.8669,44.2842,-32.1,6.8471,5,0,0.622,1.476,-2.29,-0.17,-1.11,0.28,0.00,0.00,0.00,0.30,0,0,0,1,transit,2011
KOI-1151.03,,1151.03,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.29,,0.71,0.80,0.57,0.63,        216.7771,        216.7771,        216.7771,977.6,977.6,977.6,1005.2,1005.2,1005.2,0.2,-22.29,1.35,5.25,0.0554,0.00,0.06,89.4,0.0,KOI-1151,,,Lyr,G,0.82,0.90,5516.0,0.665324,0.000,,13.4,385.08,18.8669,44.2842,-32.6,8.6175,5,0,0.622,1.476,-2.33,-0.18,-1.34,0.27,0.00,0.00,0.00,0.29,0,0,0,0,transit,2011
KOI-1151.04,,1151.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.44,,0.81,0.82,0.66,0.73,        43.76297,        43.76297,        43.76298,655.3,655.3,655.3,684.9,684.9,684.9,0.4,-20.84,1.54,17.45,0.1233,0.00,0.12,90.0,0.0,KOI-1151,,,Lyr,G,0.82,0.90,5516.0,0.665324,0.000,,13.4,385.08,18.8669,44.2842,-30.9,3.8690,5,0,0.622,1.476,-2.17,-0.18,-1.18,0.29,0.00,0.00,0.00,0.32,0,0,0,0,transit,2011
